rank,doi,year,authors,title,journal,citations,altmetric_score
12,10.1038/ng.2536,2013,"Adler, CJ; Dobney, K; Weyrich, LS; Kaidonis, J; Walker, AW; Haak, W; Bradshaw, CJA; Townsend, G; Sołtysiak, A; Alt, KW; Parkhill, J; Cooper, A",Sequencing ancient calcified dental plaque shows changes in oral microbiota with dietary shifts of the Neolithic and Industrial revolutions,Nat Genet,522,
13,10.1038/s41559-017-0370-9,2017,"Courchamp, F; Bradshaw, CJA",100 articles every ecologist should read,Nat Ecol Evol,32,
14,10.1111/cobi.12433,2015,"Brook, BW; Bradshaw, CJA",Key role for nuclear energy in global biodiversity conservation,Conserv Biol,110,
15,10.1126/sciadv.1501682,2016,"Metcalf, JL; Turney, C; Barnett, R; Martin, F; Bray, SC; Vilstrup, JT; Orlando, L; Salas-Gismondi, R; Loponte, D; Medina, M; De Nigris, M; Civalero, T; Fernández, PM; Gasco, A; Duran, V; Seymour, KL; Otaola, C; Gil, A; Paunero, R; Prevosti, FJ; Bradshaw, CJA; Wheeler, JC; Borrero, L; Austin, JJ; Cooper, A",Synergistic roles of climate warming and human occupation in Patagonian megafaunal extinctions during the Last Deglaciation,Sci Adv,0,
16,10.1186/s12302-023-00750-3,2023,"Henry, M; Leung, B; Cuthbert, RN; Bodey, TW; Ahmed, DA; Angulo, E; Balzani, P; Briski, E; Courchamp, F; Hulme, PE; Kouba, A; Kourantidou, M; Liu, C; Macêdo, RL; Oficialdegui, FJ; Renault, D; Soto, I; Tarkan, AS; Turbelin, AJ; Bradshaw, CJA; et al.",Unveiling the hidden economic toll of biological invasions in the European Union,Environ Sci Eur,56,
17,10.1016/j.oneear.2021.01.014,2021,"Di Minin, E; Clements, HS; Correia, RA; Cortés-Capano, G; Fink, C; Haukka, A; Hausmann, A; Kulkarni, R; Bradshaw, CJA",Consequences of recreational hunting for biodiversity conservation and livelihoods,One Earth,96,
18,10.1038/s41559-025-02667-x,2025,"Mulà, C; Bradshaw, CJA; Cabeza, M; Manca, F; Montano, S; Strona, G",Restoration cannot be scaled up globally to save reefs from loss and degradation,Nat Ecol Evol,38,
19,10.1098/rspb.2024.0967,2024,"Bradshaw, CJA; Saltré, F; Crabtree, SA; Reepmeyer, C; Moutsiou, T",Small populations of Palaeolithic humans in Cyprus hunted endemic megafauna to extinction,Proc R Soc B,3,
20,10.1093/jpe/RTR038,2012,"Bradshaw, CJA",Little left to lose: deforestation and forest degradation in Australia since European colonization,J Plant Ecol,311,
21,10.1016/j.gloplacha.2015.02.004,2015,"Bradshaw, CJA; Warkentin, IG",Global estimates of boreal forest carbon stocks and flux,Glob Planet Change,370,
22,10.7717/peerj.5554,2018,"Huveneers, C; Whitmarsh, S; Thiele, M; Meyer, L; Fox, A; Bradshaw, CJA",Effectiveness of five personal shark-bite deterrents for surfers,PeerJ,43,
23,10.1111/j.1523-1739.2008.01165.x,2009,"Warkentin, IG; Bickford, D; Sodhi, NS; Bradshaw, CJA",Eating frogs to extinction,Conserv Biol,67,
24,10.1038/nature10425,2011,"Gibson, L; Lee, TM; Koh, LP; Brook, BW; Gardner, TA; Barlow, J; Peres, CA; Bradshaw, CJA; Laurance, WF; Lovejoy, TE; Sodhi, NS",Primary forests are irreplaceable for sustaining tropical biodiversity,Nature,1781,
25,10.1073/pnas.2318293121,2024,"Bradshaw, CJA; Reepmeyer, C; Saltré, F; Agapiou, A; Kassianidou, V; Demesticha, S; Zomeni, Z; Polidorou, M; Moutsiou, T",Demographic models predict end-Pleistocene arrival and rapid expansion of pre-agropastoralist humans in Cyprus,Proc Natl Acad Sci USA,6,
26,10.1126/science.1240495,2013,"Gibson, L; Lynam, AJ; Bradshaw, CJA; He, F; Bickford, DP; Woodruff, DS; Bumrungsri, S; Laurance, WF",Near-complete extinction of native small mammal fauna 25 years after forest fragmentation,Science,279,
27,10.1038/s41467-021-21551-3,2021,"Bradshaw, CJA; Norman, K; Ulm, S; Williams, AN; Clarkson, C; Chadœuf, J; Lin, SC; Jacobs, Z; Roberts, RG; Bird, MI; Weyrich, LS; Haberle, SG; O’Connor, S; Llamas, B; Cohen, TJ; Friedrich, T; Veth, P; Leavesley, M; Saltré, F",Stochastic models support rapid peopling of Late Pleistocene Sahul,Nat Commun,50,
28,10.1016/j.scitotenv.2024.170944,2024,"Weeda, LJ; Bradshaw, CJA; Judge, MA; Saraswati, CM; Le Souëf, PN",How climate change degrades child health: a systematic review and meta-analysis,Sci Total Environ,45,
29,10.1038/s41562-021-01106-8,2021,"Crabtree, SA; White, DA; Bradshaw, CJA; Saltré, F; Williams, AN; Beaman, RJ; Bird, MI; Ulm, S",Landscape rules predict optimal superhighways for the first peopling of Sahul,Nat Hum Behav,53,
30,10.11646/zootaxa.4564.1.6,2019,"Smith, BP; Cairns, KM; Adams, JW; Newsome, TM; Fillios, M; Déaux, EC; Parr, WCH; Letnic, M; Van Eeden, LM; Appleby, RG; Bradshaw, CJA; Savolainen, P; Ritchie, EG; Nimmo, DG; Archer-Lean, C; Greenville, AC; Dickman, CR; Watson, L; Moseby, KE; Doherty, TS; et al.","Taxonomic status of the Australian dingo: the case for <i>Canis dingo</i> Meyer, 1793",Zootaxa,58,
31,10.1016/j.tree.2015.12.006,2016,"Di Minin, E; Leader-Williams, N; Bradshaw, CJA",Banning trophy hunting will exacerbate biodiversity loss,Trends Ecol Evol,161,
32,10.1016/j.biocon.2013.12.036,2014,"Frankham, R; Bradshaw, CJA; Brook, BW","Genetics in conservation management: Revised recommendations for the 50/500 rules, Red List criteria and population viability analyses",Biol Conserv,912,
33,10.3897/neobiota.67.58834,2021,"Bradshaw, CJA; Hoskins, AJ; Haubrock, PJ; Cuthbert, RN; Diagne, C; Leroy, B; Andrews, L; Page, B; Cassey, P; Sheppard, AW; Courchamp, F",Detailed assessment of the reported economic costs of invasive species in Australia,NeoBiota,94,
34,10.1038/s41597-022-01453-9,2022,"Riley, M; Meagher, P; Huveneers, C; Leto, J; Peddemors, VM; Slip, D; West, J; Bradshaw, CJA",The Australian Shark-Incident Database for quantifying temporal and spatial patterns of shark-human conflict,Sci Data,26,
